     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
     16800,      1522,         0,   0.375,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     24000,      2249,         0,   0.609,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      5400,       430,         0,   0.375,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     28800,      2744,         0,   0.610,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     36000,      3315,         0,   0.875,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     62400,      5583,         0,    1.25,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     16200,      1271,         0,   0.907,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
     96000,      8718,         0,    1.98,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
      2846,       274,         0,   0.063,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
    100800,      9349,         0,    2.09,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
    144000,     13142,         0,    2.89,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
       200,        21,         0,   0.062,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
       600,        37,         0,   0.094,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
     24300,      1833,         0,    1.27,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
      1800,       116,         0,   0.234,pymatching,a3ae42a7bc6d1de1192ce030a986411165408635ff78effbe48cf9584478b753,"{""d"":9,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":9,""rounds"":27}}",
    172800,     15875,         0,    3.19,pymatching,b7df94b45d067b23770cabce49e01be8710b60140dfb120e0a993306bf8eae53,"{""d"":5,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":5,""rounds"":15}}",
     48600,      3740,         0,    2.62,pymatching,5f2d1641c1803d10466674f83d8763974859a3666825ce33e9d4b5caf0f3a611,"{""d"":7,""eta"":0.5,""memory"":""V"",""p"":0.003,""params"":{""afterCZ_bias_probability"":[0.003,0.5],""after_clifford_depolarization"":0.003,""after_reset_flip_probability"":0.003,""before_measure_flip_probability"":0.003,""before_round_data_bias_probability"":[0.003,0.5],""distance"":7,""rounds"":21}}",
